id,display_name,barcode,price,brand,category
11605,Breeze Powder ActivBleach Tie - 6x70g,4.80089E+12,59.78,Breeze,Laundry Products
11606,Butter Cream Crackers Pack - 10x25g,4.80012E+12,46.74,Butter Cream,Bread and Biscuits
11607,C2 Green Tea Apple Bottle - 1L,4.80002E+12,36.95,C2,RTD
11608,C2 Green Tea Apple Bottle - 355ml,4.80002E+12,16.1,C2,RTD
11609,C2 Grean Tea Apple Bottle - 500ml,4.80002E+12,23.62,C2,RTD
11610,C2 Green Tea Apple Solo Box - 24x230ml,1.48E+13,234,C2,RTD
11611,C2 Green Tea Lemon Bottle - 1L,4.80002E+12,36.22,C2,RTD
11612,C2 Green Tea Lemon Bottle - 355ml,4.80002E+12,16.42,C2,RTD
11613,C2 Green Tea Lemon Bottle - 500ml,4.80002E+12,23.64,C2,RTD
11614,C2 Green Tea Lemon Solo Box - 24x230ml,1.48E+13,233.89,C2,RTD
11615,Calla Detergent Powder Fabcon Rose Garden Tie - 6x100g,4.8065E+12,59.14,Calla,Laundry Products
11616,Calla Detergent Powder Tie - 6x100g,4.8065E+12,58.83,Calla,Laundry Products
11617,CDO Karne Norte Can - 100g,4.80025E+12,15.87,CDO,Packed Meat
11618,CDO Karne Norte Can - 150g,4.80025E+12,24.33,CDO,Packed Meat
11619,CDO Karne Norte Can - 175g,4.80025E+12,27.74,CDO,Packed Meat
11620,CDO Karne Norte Pack - 260g,4.80025E+12,41.09,CDO,Packed Meat
11621,Century Tuna Flakes Hot & Spicy Easy Open Can - 155g,7.48485E+11,28.5,Century,Canned Seafood
11622,Century Tuna Flakes Hot & Spicy Easy Open Can - 180g,7.48485E+11,34.98,Century,Canned Seafood
11623,Century Tuna Flakes Oil Easy Open Can - 155g,7.48485E+11,27.81,Century,Canned Seafood
11624,Century Tuna Flakes Oil Easy Open Can - 180g,7.48485E+11,34.9,Century,Canned Seafood
11625,Champion Detergent Powder Regular Supra Clean Sachet - 6x120g,4.8065E+12,78.73,Champion,Laundry Products
11626,Champion Detergent Powder Regular Supra Clean Sachet - 6x40g,4.8065E+12,27.03,Champion,Laundry Products
11627,Champion Detergent Powder With Fabric Conditioner Tie - 6x120g,4.8065E+12,78.74,Champion,Laundry Products
11628,Champion Detergent Regular Supra Clean Bar - 145g,4.8065E+12,6.93,Champion,Laundry Products
11629,Champion Fabric Conditioner Infinity Sachet - 28ml,4.8065E+12,22.98,Champion,Laundry Products
11630,Champion Todo Tipid Bar and Powder Pack Sachet - 145 + 40g,4.8065E+12,9.62,Champion,Laundry Products
11631,Cheese Ring Snack Pack - 20g,7.29461E+11,4.97,Cheese Ring,Chips
11632,Cheese Ring Snack Pack - 60g,4.80169E+12,12.85,Cheese Ring,Chips
11633,Cheez-It Snack Cheese Pack - 25g,4.80052E+12,4.03,Cheez It,Chips
11634,Champion Detergent Reg Supra Clean Bar - 390g,4.8065E+12,18.28,Champion,Laundry Products
11635,Choco Mucho Cookies & Cream Bar Pack - 30g,4.80009E+12,4.52,Choco Mucho,Candies and Chocolates
11636,Chokochoko Chocostix Ref Pack - 50pcs,4.80017E+12,42.12,Choko Choko,Candies and Chocolates
11637,Close Up Toothpaste Red Hot Twin Pack Tie - 6x20ml,4.80089E+12,35.03,Close Up,Oral Care
11638,Cloud 9 Classic 1's - 28g,4.80001E+12,4.86,Cloud 9,Candies and Chocolates
11639,Clover Chips Cheese Pack - 22g,4.80022E+12,4.1,Clover Chips,Chips
11640,Clover Chips Cheese Pack - 55g,4.80022E+12,14.94,Clover Chips,Chips
11641,Coffeemate Creamer Sachet - 80g,8.85012E+12,16.17,Coffeemate,Coffee
11642,Coke Mismo Case - 12x300ml,4.80198E+12,132.11,Coke,Softdrinks
11643,Coke Regular Bottle - 1.5L,4.80198E+12,54.17,Coke,Softdrinks
11644,Col. Vfresh Gum Wintercool Pack - 50pcs,4.80082E+12,27.34,Vfresh,Candies and Chocolates
11645,Colgate Toothpaste Fresh Confidence Kool Menthol Tie - 6x22g,8.85001E+12,37.22,Colgate,Oral Care
11646,Colgate Toothpaste Regular Flavor Tie - 6x24g,8.85001E+12,37.78,Colgate,Oral Care
11647,Columbia Frutos Candy Soft Chewy Pack - 160gx50pcs,4.80082E+12,25.65,Frutos,Candies and Chocolates
11648,Columbia Potchi Candy Straw Pack - 135gx50pcs,4.80082E+12,26.05,Potchi,Candies and Chocolates
11649,Cow Bell Condensada Can - 300ml,4.80058E+12,27.26,Cow Bell,Milk
11650,Cream-O Choco Fudge Polybag - 10x33g,4.80001E+12,56.6,Cream O,Bread and Biscuits
11651,Cream-O Vanilla Polybag - 10x33g,4.80001E+12,56.26,Cream O,Bread and Biscuits
11652,Creamsilk Conditioner Damage Control Tie - 6x11ml,4.80089E+12,29.94,Cream Silk,Hair Care
11653,Creamsilk Conditioner Hairfall Defense Strength Boost Tie - 6x11ml,4.80089E+12,30.62,Cream Silk,Hair Care
11654,Creamsilk Conditioner Standout Straight Tie - 6x12ml,4.80089E+12,30.44,Cream Silk,Hair Care
11655,Cupp Keyk Choco Topps Pack - 10x34g,4.80009E+12,56.81,Cupp Keyk,Bread and Biscuits
11656,Datu Puti Oyster Sauce Pack - 30g,4.80167E+12,3.25,Datu Puti,Condiments and Spices
11657,Datu Puti Patis Sachet - 150ml,4.80167E+12,10.24,Datu Puti,Condiments and Spices
11658,Datu Puti Soy Sauce Sakto Pack - 6x60ml,4.80167E+12,17.36,Datu Puti,Condiments and Spices
11659,Datu Puti Soy Sauce Sachet - 100ml,4.80167E+12,3.59,Datu Puti,Condiments and Spices
11660,Datu Puti Soy Sauce Sachet - 200ml,4.80167E+12,7.49,Datu Puti,Condiments and Spices
11661,Datu Puti Vinegar Sakto Pack - 6x60ml,4.80167E+12,16.3,Datu Puti,Condiments and Spices
11662,Datu Puti Vinegar Sachet - 100ml,4.80167E+12,2.88,Datu Puti,Condiments and Spices
11663,Datu Puti Vinegar Sachet - 200ml,4.80167E+12,5.57,Datu Puti,Condiments and Spices
11664,Del Monte Juice Pine with Fiber Can - 240ml,4.80002E+12,24.23,Del Monte,RTD
11665,Del Monte Juice Pineapple Heartsmart Bottle - 240ml,4.80002E+12,24.79,Del Monte,RTD
11667,Del Monte Juice Pineapple Juice with Vitamin A-C-E Can - 240ml,4.80002E+12,22.53,Del Monte,RTD
11668,Del Monte Pineapple Tidbits Pouch - 115g,4.80002E+12,11.22,Del Monte,Packed Fruits
11669,Del Monte Tomato Sauce Pack - 115g,4.80002E+12,13.14,Del Monte,Oil and Sauces
11670,Del Monte Tomato Sauce Pack - 200g,4.80002E+12,17.77,Del Monte,Oil and Sauces
11671,Del Monte Tomato Sauce Pack - 250g,4.80002E+12,20.22,Del Monte,Oil and Sauces
11672,Doowee Donuts Chocolate w/ Bavarian Pack - 10x40g,4.80009E+12,74.78,Doowee,Bread and Biscuits
11673,Dove Conditioner Intense Repair Tie - 6x10ml,4.80089E+12,30.11,Dove,Hair Care
11674,Dove Conditioner Straight & Silky Tie - 6x10ml,4.80089E+12,30.12,Dove,Hair Care
11675,Dove Shampoo Intense Repair Tie - 6x10ml,4.80089E+12,24.39,Dove,Hair Care
11676,Dove Shampoo Straight Silky Tie - 6x10ml,4.80089E+12,24.76,Dove,Hair Care
11677,Downy Fabric Conditioner AntiBac Safeguard Tie - 6x27ml,4.90243E+12,25.42,Downy,Laundry Products
11678,Downy Fabric Conditioner AntiBac Safeguard Tie - 6x40ml,4.90243E+12,40.48,Downy,Laundry Products
11679,Downy Fabric Conditioner AntiBac Safeguard Tri-Sachet Tie - 6x60ml,4.90243E+12,64.89,Downy,Laundry Products
11680,Downy Fabric Conditioner Garden Bloom Tie - 6x25ml,4.90243E+12,25.04,Downy,Laundry Products
11681,Downy Fabric Conditioner Garden Bloom Tri-Sachet Tie - 6x66ml,4.90243E+12,66.28,Downy,Laundry Products
11682,Downy Fabric Conditioner Parfum Collection Mystique Tie - 6x20ml,4.90243E+12,24.77,Downy,Laundry Products
11683,Downy Fabric Conditioner Parfum Collection Passion Tie - 6x20ml,4.90243E+12,24.52,Downy,Laundry Products
11684,Downy Fabric Conditioner Sunrise Fresh Tie - 6x28ml,4.90243E+12,24.77,Downy,Laundry Products
11685,Downy Fabric Conditioner Sunrise Fresh Tie - 6x40ml,4.90243E+12,39.91,Downy,Laundry Products
11686,Downy Fabric Conditioner Sunrise Fresh Tri-Sachet Tie - 6x60ml,4.90243E+12,66.22,Downy,Laundry Products
11687,Eden Cheese Sulit Pack Sachet - 45g,7.62221E+12,11.39,Eden,Spreads and Dressings
11688,Eden Cheese Box - 165g,4.80865E+12,45.47,Eden,Spreads and Dressings
11689,Emperador Brandy Light Bottle - 1L,4.80014E+12,128.6,Emperador,Alcohol
11690,Emperador Brandy Light Bottle - 350ml,4.80014E+12,48.41,Emperador,Alcohol
11691,Emperador Brandy Light Bottle - 500ml,4.80014E+12,68.63,Emperador,Alcohol
11692,Emperador Brandy Light Bottle - 750ml,4.80014E+12,97.65,Emperador,Alcohol
11693,Emperador Brandy Original Bottle - 750ml,4.80014E+12,97.98,Emperador,Alcohol
11694,Energen Cereal Choco Tie - 10x40g,8.996E+12,67.04,Energen,Bread and Biscuits
11696,Fibisco Cookies Hi-Ro - 330g x 10S Pack,4.80004E+12,48.24,Fibisco,Bread and Biscuits
11697,Fita Biscuits Singles Pack - 10x30g,7.50515E+11,46.5,Fita,Bread and Biscuits
11698,Fortune Extra Menthol Fliptop Long Pack - 20 sticks,48043717,107.08,Fortune,Cigarettes
11699,Fortune Lights Tribal Blue Label Pack - 20 sticks,48043441,107,Fortune,Cigarettes
11700,Fortune Mint Splash Pack - 20 sticks,48043472,106.96,Fortune,Cigarettes
11701,Fortune Red Extra KS Softpack Pack - 20sticks,48037105,107.01,Fortune,Cigarettes
